date,mean temperature,co2 (ppm)
12/6/2016,0.81,404.55
11/6/2016,0.93,403.64
10/6/2016,0.89,401.5
9/6/2016,0.87,401.01
8/6/2016,0.98,402.24
7/6/2016,0.83,404.5
6/6/2016,0.76,407
5/6/2016,0.93,407.65
4/6/2016,1.09,407.57
3/6/2016,1.3,404.86
2/6/2016,1.35,404.16
1/6/2016,1.17,402.65
12/6/2015,1.11,401.89
11/6/2015,1.04,400.24
10/6/2015,1.06,398.28
9/6/2015,0.81,397.5
8/6/2015,0.78,399
7/6/2015,0.71,401.6
6/6/2015,0.78,402.88
5/6/2015,0.78,404.11
4/6/2015,0.74,403.45
3/6/2015,0.9,401.51
2/6/2015,0.86,400.31
1/6/2015,0.81,399.85
12/6/2014,0.79,398.79
11/6/2014,0.67,397.22
10/6/2014,0.85,395.65
9/6/2014,0.9,395.4
8/6/2014,0.82,397.21
7/6/2014,0.57,399.07
6/6/2014,0.66,401.31
5/6/2014,0.87,401.88
4/6/2014,0.78,401.33
3/6/2014,0.77,399.47
2/6/2014,0.51,398.1
1/6/2014,0.73,397.93
12/6/2013,0.67,396.82
11/6/2013,0.81,395.19
10/6/2013,0.69,393.7
9/6/2013,0.78,393.39
8/6/2013,0.66,395.41
7/6/2013,0.59,397.37
6/6/2013,0.65,398.87
5/6/2013,0.61,399.98
4/6/2013,0.52,398.35
3/6/2013,0.66,397.26
2/6/2013,0.55,396.85
1/6/2013,0.68,395.61
12/6/2012,0.53,394.34
11/6/2012,0.75,392.95
10/6/2012,0.78,391.01
9/6/2012,0.76,391.13
8/6/2012,0.63,392.54
7/6/2012,0.57,394.52
6/6/2012,0.62,395.88
5/6/2012,0.76,396.87
4/6/2012,0.69,396.43
3/6/2012,0.58,394.36
2/6/2012,0.49,393.35
1/6/2012,0.46,393.07
12/6/2011,0.54,391.8
11/6/2011,0.56,390.24
10/6/2011,0.66,388.93
9/6/2011,0.56,389
8/6/2011,0.73,390.21
7/6/2011,0.73,392.6
6/6/2011,0.59,393.69
5/6/2011,0.53,394.28
4/6/2011,0.65,393.37
3/6/2011,0.64,392.45
2/6/2011,0.53,391.92
1/6/2011,0.51,391.3
12/6/2010,0.49,389.81
11/6/2010,0.79,388.67
10/6/2010,0.71,387.16
9/6/2010,0.61,386.84
8/6/2010,0.65,388.52
7/6/2010,0.62,390.33
6/6/2010,0.64,392.24
5/6/2010,0.75,393.22
4/6/2010,0.87,392.38
3/6/2010,0.92,391.01
2/6/2010,0.78,390.07
1/6/2010,0.73,388.55
12/6/2009,0.65,387.49
11/6/2009,0.77,386.05
10/6/2009,0.64,384.33
9/6/2009,0.7,384.65
8/6/2009,0.66,386.08
7/6/2009,0.72,388.07
6/6/2009,0.65,389.62
5/6/2009,0.65,390.16
4/6/2009,0.61,389.57
3/6/2009,0.53,388.51
2/6/2009,0.53,387.12
1/6/2009,0.62,386.65
12/6/2008,0.54,385.11
11/6/2008,0.66,384.01
10/6/2008,0.67,382.78
9/6/2008,0.65,383.09
8/6/2008,0.44,384.08
7/6/2008,0.6,386.25
6/6/2008,0.48,388.05
5/6/2008,0.51,388.51
4/6/2008,0.53,386.77
3/6/2008,0.73,385.83
2/6/2008,0.36,385.84
1/6/2008,0.24,385.07
12/6/2007,0.5,383.61
11/6/2007,0.57,382.35
10/6/2007,0.6,380.86
9/6/2007,0.64,380.86
8/6/2007,0.6,381.84
7/6/2007,0.62,384.45
6/6/2007,0.58,385.87
5/6/2007,0.67,386.41
4/6/2007,0.76,386.23
3/6/2007,0.7,384.34
2/6/2007,0.7,383.71
1/6/2007,0.96,382.58
12/6/2006,0.77,381.66
11/6/2006,0.72,380.14
10/6/2006,0.69,379.06
9/6/2006,0.64,378.81
8/6/2006,0.72,380.48
7/6/2006,0.54,382.28
6/6/2006,0.64,384.03
5/6/2006,0.47,384.92
4/6/2006,0.5,384.37
3/6/2006,0.63,382.56
2/6/2006,0.7,382.02
1/6/2006,0.57,381.37
12/6/2005,0.68,379.96
11/6/2005,0.76,378.31
10/6/2005,0.8,376.8
9/6/2005,0.78,376.42
8/6/2005,0.63,378.67
7/6/2005,0.66,380.67
6/6/2005,0.67,382.08
5/6/2005,0.65,382.24
4/6/2005,0.69,382.05
3/6/2005,0.69,380.17
2/6/2005,0.58,379.61
1/6/2005,0.72,378.34
12/6/2004,0.52,377.44
11/6/2004,0.72,375.84
10/6/2004,0.66,374.22
9/6/2004,0.53,374.05
8/6/2004,0.45,375.84
7/6/2004,0.26,377.76
6/6/2004,0.43,379.55
5/6/2004,0.42,380.61
4/6/2004,0.62,380.5
3/6/2004,0.64,378.39
2/6/2004,0.71,377.36
1/6/2004,0.59,376.79
12/6/2003,0.75,375.69
11/6/2003,0.55,374.34
10/6/2003,0.75,373
9/6/2003,0.66,372.98
8/6/2003,0.66,374.48
7/6/2003,0.55,376.61
6/6/2003,0.49,378.13
5/6/2003,0.62,378.35
4/6/2003,0.55,377.65
3/6/2003,0.57,376.11
2/6/2003,0.55,375.62
1/6/2003,0.73,374.68
12/6/2002,0.43,373.78
11/6/2002,0.59,372.08
10/6/2002,0.57,370.25
9/6/2002,0.65,370.7
8/6/2002,0.55,371.48
7/6/2002,0.62,374.02
6/6/2002,0.54,375.4
