ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,Sport,Medal
22,Andreea Aanei,F,22,170,125,Romania,ROU,2016 Summer,2016,Summer,Weightlifting,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016 Summer,2016,Summer,Gymnastics,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016 Summer,2016,Summer,Gymnastics,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016 Summer,2016,Summer,Gymnastics,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016 Summer,2016,Summer,Gymnastics,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016 Summer,2016,Summer,Gymnastics,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016 Summer,2016,Summer,Gymnastics,NA
55,Antonio Abadia Beci,M,26,170,65,Spain,ESP,2016 Summer,2016,Summer,Athletics,NA
62,Giovanni Abagnale,M,21,198,90,Italy,ITA,2016 Summer,2016,Summer,Rowing,Bronze
65,Patimat Abakarova,F,21,165,49,Azerbaijan,AZE,2016 Summer,2016,Summer,Taekwondo,Bronze
73,Luc Abalo,M,31,182,86,France,FRA,2016 Summer,2016,Summer,Handball,Silver
105,Ilyas Abbadi,M,23,175,75,Algeria,ALG,2016 Summer,2016,Summer,Boxing,NA
110,Abubakar Abbas Abbas,M,20,175,66,Bahrain,BRN,2016 Summer,2016,Summer,Athletics,NA
135,Lois Abbingh,F,23,178,72,Netherlands,NED,2016 Summer,2016,Summer,Handball,NA
138,Salwan Jasim Abbood Abbood,M,24,180,104,Iraq,IRQ,2016 Summer,2016,Summer,Weightlifting,NA
141,Clare Abbott,F,30,167,58,Ireland,IRL,2016 Summer,2016,Summer,Equestrianism,NA
141,Clare Abbott,F,30,167,58,Ireland,IRL,2016 Summer,2016,Summer,Equestrianism,NA
149,Mara Katherine Abbott,F,30,163,52,United States,USA,2016 Summer,2016,Summer,Cycling,NA
161,Hossam Abdalla,M,28,203,97,Egypt,EGY,2016 Summer,2016,Summer,Volleyball,NA
170,Maha Abdalsalam Gouda,F,18,172,61,Egypt,EGY,2016 Summer,2016,Summer,Diving,NA
203,Ahmed Abdel Naeim,M,31,197,87,Egypt,EGY,2016 Summer,2016,Summer,Volleyball,NA
213,Samy Abdel Razek,M,36,170,60,Egypt,EGY,2016 Summer,2016,Summer,Shooting,NA
213,Samy Abdel Razek,M,36,170,60,Egypt,EGY,2016 Summer,2016,Summer,Shooting,NA
225,Shaimaa Abdel-Latif-Hashad,F,35,165,57,Egypt,EGY,2016 Summer,2016,Summer,Shooting,NA
227,Ahmed Abdelaal,M,27,188,89,Egypt,EGY,2016 Summer,2016,Summer,Volleyball,NA
228,Mahmoud Abdelaal,M,24,176,60,Egypt,EGY,2016 Summer,2016,Summer,Boxing,NA
229,Mohamed Ali Abdelaal,M,26,175,81,Egypt,EGY,2016 Summer,2016,Summer,Judo,NA
